label,page,text,id,surrounding_text
DATE,10,1985] 1 Ll(cid:82)(cid:92)d(cid:182)(cid:86,,"(cid:179)(cid:171)i(cid:81) decidi(cid:81)g (cid:88)(cid:83)(cid:82)(cid:81) (cid:87)he c(cid:85)edibili(cid:87)(cid:92) (cid:82)f a (cid:90)i(cid:87)(cid:81)e(cid:86)(cid:86) (cid:87)he c(cid:82)(cid:88)(cid:85)(cid:87) ma(cid:92) ha(cid:89)e (cid:85)ega(cid:85)d (cid:87)(cid:82) 
the contemporaneous documents, following the guidance given in cases such 
as [1985] 1 Ll(cid:82)(cid:92)d(cid:182)(cid:86) Re(cid:83) 1 at [57]. [i.e. a citation to The Ocean Frost] 
There  is  great  assistance  to  be  obtained  from  extra-judicial  writing  of  Lord 
Bi(cid:81)gham 
i(cid:81)  a  cha(cid:83)(cid:87)e(cid:85)  headed  (cid:179)The  J(cid:88)dge  a(cid:86)  J(cid:88)(cid:85)(cid:82)(cid:85):  The  J(cid:88)dicial 
De(cid:87)e(cid:85)mi(cid:81)a(cid:87)i(cid:82)(cid:81) (cid:82)f Fac(cid:87)(cid:88)al I(cid:86)(cid:86)(cid:88)e(cid:86)(cid:180) i(cid:81) The B(cid:88)(cid:86)i(cid:81)e(cid:86)(cid:86) (cid:82)f J(cid:88)dgi(cid:81)g , O(cid:91)f(cid:82)(cid:85)d 2000, 
pp.3ff; Current Legal Problems , (Stevens & Sons Ltd, 1985) Vol.38, pp.1(cid:177)27. 
Lord  Bingham  cited  Sir  Richard  Eggleston  QC,  Evidence,  Proof  and 
Probability (1978), 155 who set out the main tests to be used by a judge to 
determine whether a witness is lying or not. "
DATE,11,1553 & 1553-1558,,"1542, 1543, 1547, 1549, 1550, 1552, 1553 & 1553-1558. "
timexy,11,August 2016,"TIMEX3 type=""DATE"" value=""2016-08-01T00:00:00""",she was deposed in August 2016. But her account of her injuries  were inconsistent 
DATE,12,Transcript Day 12,,"an incident in two parts. Transcript Day 12, pages 1930-1938. "
timexy,12,December 2015,"TIMEX3 type=""DATE"" value=""2015-12-01T00:00:00""","Depp in December 2015 [2/59B/D227-D231], Ms Heard created a wholly new, but "
timexy,12,26.6.20,"TIMEX3 type=""DATE"" value=""2020-06-26T00:00:00""","extremely serious alleged assault: AH 5th WS of 26.6.20, Confidential Schedule "
DATE,13,between 21,,"which, in table form, summarises all the people who saw Ms Heard between 21 and "
timexy,13,26  May  2016,"TIMEX3 type=""DATE"" value=""2016-05-26T00:00:00""",26  May  2016  and  (cid:177)  where  they  have  given  evidence  (cid:177)  references  to  where  that 
timexy,14,17 July 2020,"TIMEX3 type=""DATE"" value=""2020-07-17T00:00:00""","relies upon his evidence as hearsay (Claimant(cid:182)s Hearsa(cid:92) Notice, 17 July 2020). "
timexy,14,18 July 2016,"TIMEX3 type=""DATE"" value=""2016-07-18T00:00:00""","66. In short, the contents of the deposition of Officer Saenz on 18 July 2016 [3/87/F43-"
timexy,14,18 July 2016,"TIMEX3 type=""DATE"" value=""2016-07-18T00:00:00""","66. In short, the contents of the deposition of Officer Saenz on 18 July 2016 [3/87/F43-"
DATE,14,3/86/F40-42,,"[3/88/F55-67],  and  the  Declaration  of  Laura  Divenere  [3/86/F40-42]  should  be "
timexy,15,"28 July 

2016","TIMEX3 type=""DATE"" value=""2016-07-28T00:00:00""",
DATE,15,F149-F157,,2016 deposition [3/94/F149-F157] was made close in time to the relevant events 
timexy,15,May 2016,"TIMEX3 type=""DATE"" value=""2016-05-01T00:00:00""",of May 2016. 
timexy,15,28 July 2016,"TIMEX3 type=""DATE"" value=""2016-07-28T00:00:00""","proceedings  and that in respect of the 28 July 2016  deposition, Mr  Harrell  was "
DATE,16,2018,,74. The  principles  are  summarised  in  Monir  v  Wood  [2018]  EWHC  3525  (QB)  at  [217] 
DATE,16,2016] EWHC 1226,,(where Nicklin J adopted the summary in Barron v Vines [2016] EWHC 1226 (QB)). 
DATE,16,C(cid:182)s 2nd,,77. Mr Depp(cid:182)s evidence about harm to his reputation and impact on his career [C(cid:182)s 2nd WS 
DATE,16,DAY 9,,"was not challenged at all on her evidence (Transcript, DAY 9, pages 1489-1493).  "
timexy,17,May 2016,"TIMEX3 type=""DATE"" value=""2016-05-01T00:00:00""","Sun having previously published (a) an article in May 2016, in which it had reported "
timexy,17,17 August 2016,"TIMEX3 type=""DATE"" value=""2016-08-17T00:00:00""",that there was no evidence warranting a report of a crime and (b) on 17 August 2016 
timexy,17,"20 

March 2020","TIMEX3 type=""DATE"" value=""2020-03-20T00:00:00""",
timexy,17,March 2017,"TIMEX3 type=""DATE"" value=""2017-03-01T00:00:00""","2 In March 2017, HHJ Parkes QC sitting as a Deputy High Court Judge in Lisle-Mainwaring v ANL [2017] 
EWHC 543 (QB) observed at [62] (cid:179)I(cid:87) ha(cid:86) (cid:81)(cid:82)(cid:90) bec(cid:82)me c(cid:82)(cid:81)(cid:89)e(cid:81)(cid:87)i(cid:82)(cid:81)al (cid:87)(cid:82) (cid:85)ec(cid:82)g(cid:81)i(cid:86)e a (cid:181)ceili(cid:81)g(cid:182) f(cid:82)(cid:85) ge(cid:81)e(cid:85)al 
damages in defamation, which broadly corresponds to the maximum level of damages for pain, suffering 
and loss of amenity in personal injury cases. That figure now appears to be of the order of £300,000 
(see Cairns v Modi at [25] and Simmons v Castle (No.2) [2012] EWCA Civ 1288, [2013] EMLR 4 )(cid:180) "
timexy,19,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""",8th March 2013 
timexy,19,8 March 2013,"TIMEX3 type=""DATE"" value=""2013-03-08T00:00:00""",there were two incidents (one on 8 March 2013 to which the text mentioning the 
timexy,19,8 March 2013,"TIMEX3 type=""DATE"" value=""2013-03-08T00:00:00""",there were two incidents (one on 8 March 2013 to which the text mentioning the 
timexy,19,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""",8th March 2013 
DATE,19,8th March,,8th March 2013 
DATE,19,DAY 2,,"1 In cross-e(cid:91)a(cid:80)(cid:76)(cid:81)a(cid:87)(cid:76)(cid:82)(cid:81) (cid:82)(cid:73) (cid:87)(cid:75)e C(cid:79)a(cid:76)(cid:80)a(cid:81)(cid:87), (cid:87)(cid:75)e De(cid:73)e(cid:81)da(cid:81)(cid:87)(cid:86) (cid:73)(cid:76)(cid:85)(cid:80)(cid:79)(cid:92) (cid:87)(cid:76)ed (cid:87)(cid:75)e (cid:179)Pa(cid:76)(cid:81)(cid:87)(cid:76)(cid:81)(cid:74) I(cid:81)c(cid:76)de(cid:81)(cid:87)(cid:180) (cid:87)(cid:82) (cid:73)(cid:76)(cid:79)(cid:80)(cid:76)(cid:81)(cid:74) (cid:87)(cid:75)e 
Keith Richards documentary (cid:177) See DAY 2, page 196, lines 20-23: (cid:179)MS WASS: The day after the night 
of the painting, you were due to appear on a film set.(cid:180) DAY 2, (cid:83)a(cid:74)e 197, (cid:79)(cid:76)(cid:81)e(cid:86) 18-23. No-one suggests 
Ms Heard went to the film set before late March.   "
DATE,19,The day,,"1 In cross-e(cid:91)a(cid:80)(cid:76)(cid:81)a(cid:87)(cid:76)(cid:82)(cid:81) (cid:82)(cid:73) (cid:87)(cid:75)e C(cid:79)a(cid:76)(cid:80)a(cid:81)(cid:87), (cid:87)(cid:75)e De(cid:73)e(cid:81)da(cid:81)(cid:87)(cid:86) (cid:73)(cid:76)(cid:85)(cid:80)(cid:79)(cid:92) (cid:87)(cid:76)ed (cid:87)(cid:75)e (cid:179)Pa(cid:76)(cid:81)(cid:87)(cid:76)(cid:81)(cid:74) I(cid:81)c(cid:76)de(cid:81)(cid:87)(cid:180) (cid:87)(cid:82) (cid:73)(cid:76)(cid:79)(cid:80)(cid:76)(cid:81)(cid:74) (cid:87)(cid:75)e 
Keith Richards documentary (cid:177) See DAY 2, page 196, lines 20-23: (cid:179)MS WASS: The day after the night 
of the painting, you were due to appear on a film set.(cid:180) DAY 2, (cid:83)a(cid:74)e 197, (cid:79)(cid:76)(cid:81)e(cid:86) 18-23. No-one suggests 
Ms Heard went to the film set before late March.   "
DATE,19,DAY 2,,"1 In cross-e(cid:91)a(cid:80)(cid:76)(cid:81)a(cid:87)(cid:76)(cid:82)(cid:81) (cid:82)(cid:73) (cid:87)(cid:75)e C(cid:79)a(cid:76)(cid:80)a(cid:81)(cid:87), (cid:87)(cid:75)e De(cid:73)e(cid:81)da(cid:81)(cid:87)(cid:86) (cid:73)(cid:76)(cid:85)(cid:80)(cid:79)(cid:92) (cid:87)(cid:76)ed (cid:87)(cid:75)e (cid:179)Pa(cid:76)(cid:81)(cid:87)(cid:76)(cid:81)(cid:74) I(cid:81)c(cid:76)de(cid:81)(cid:87)(cid:180) (cid:87)(cid:82) (cid:73)(cid:76)(cid:79)(cid:80)(cid:76)(cid:81)(cid:74) (cid:87)(cid:75)e 
Keith Richards documentary (cid:177) See DAY 2, page 196, lines 20-23: (cid:179)MS WASS: The day after the night 
of the painting, you were due to appear on a film set.(cid:180) DAY 2, (cid:83)a(cid:74)e 197, (cid:79)(cid:76)(cid:81)e(cid:86) 18-23. No-one suggests 
Ms Heard went to the film set before late March.   "
DATE,19,late March,,"1 In cross-e(cid:91)a(cid:80)(cid:76)(cid:81)a(cid:87)(cid:76)(cid:82)(cid:81) (cid:82)(cid:73) (cid:87)(cid:75)e C(cid:79)a(cid:76)(cid:80)a(cid:81)(cid:87), (cid:87)(cid:75)e De(cid:73)e(cid:81)da(cid:81)(cid:87)(cid:86) (cid:73)(cid:76)(cid:85)(cid:80)(cid:79)(cid:92) (cid:87)(cid:76)ed (cid:87)(cid:75)e (cid:179)Pa(cid:76)(cid:81)(cid:87)(cid:76)(cid:81)(cid:74) I(cid:81)c(cid:76)de(cid:81)(cid:87)(cid:180) (cid:87)(cid:82) (cid:73)(cid:76)(cid:79)(cid:80)(cid:76)(cid:81)(cid:74) (cid:87)(cid:75)e 
Keith Richards documentary (cid:177) See DAY 2, page 196, lines 20-23: (cid:179)MS WASS: The day after the night 
of the painting, you were due to appear on a film set.(cid:180) DAY 2, (cid:83)a(cid:74)e 197, (cid:79)(cid:76)(cid:81)e(cid:86) 18-23. No-one suggests 
Ms Heard went to the film set before late March.   "
DATE,20,"12th 

March",,
timexy,21,August 2014,"TIMEX3 type=""DATE"" value=""2014-08-01T00:00:00""",8.  Fifth Incident: Bahamas detox in August 2014 (ReAmDef ¶8.a.5)  
DATE,22,DAY 4,,"9.2. See Transcript, DAY 4, page 377-379 "
DATE,22,DAY 4,,"9.2. See Transcript, DAY 4, page 377-379 "
timexy,22,three day,"TIMEX3 type=""DURATION"" value=""P3D""",11. Eighth Incident: Australia three day hostage situation (ReAmDef ¶8.a.8-11) 
DATE,22,DAY 4,,"9.2. See Transcript, DAY 4, page 377-379 "
timexy,22,November 2015,"TIMEX3 type=""DATE"" value=""2015-11-01T00:00:00""","12. Eleventh Incident: Thanksgiving, November 2015 (Re-Am Def ¶8.a.14) "
DATE,23,DAY 4,,"See Transcript, DAY 4, page 528, line 8 (cid:177) page 531, line 11. "
timexy,23,"May 21, 2016","TIMEX3 type=""DATE"" value=""2016-05-21T00:00:00""","14. Fourteenth Incident: May 21, 2016 at the Eastern Columbia (Re-AmDef ¶8(d)-(l)) "
DATE,23,DAY 4,,"See Transcript, DAY 4, page 528, line 8 (cid:177) page 531, line 11. "
timexy,24,28 May 2016,"TIMEX3 type=""DATE"" value=""2016-05-28T00:00:00""",28 May 2016 at 6/148E/894.257 (cid:177) F894.259 which Ms Heard states (cid:90)e(cid:85)e (cid:179)photos 
timexy,24,May 2016,"TIMEX3 type=""DATE"" value=""2016-05-01T00:00:00""",28 May 2016 at 6/148E/894.257 (cid:177) F894.259 which Ms Heard states (cid:90)e(cid:85)e (cid:179)photos 
timexy,25,21 June 2019,"TIMEX3 type=""DATE"" value=""2019-06-21T00:00:00"""," 
The  so-ca(cid:79)(cid:79)ed  (cid:179)Pa(cid:76)(cid:81)(cid:87)(cid:76)(cid:81)(cid:74)  I(cid:81)c(cid:76)de(cid:81)(cid:87)(cid:180)  (cid:82)(cid:85)  I(cid:81)c(cid:76)de(cid:81)(cid:87)  T(cid:90)(cid:82)  c(cid:75)a(cid:81)(cid:74)ed  (cid:85)ad(cid:76)ca(cid:79)(cid:79)(cid:92)  a(cid:81)d  on  multiple 
occasions in these proceedings.  The Court heard the shifting testimony at trial, but the 
distance  travelled  since  it  was  first  raised  is  extraordinary.  This  is  relied  upon  by  the 
C(cid:79)a(cid:76)(cid:80)a(cid:81)(cid:87) (cid:87)(cid:82) (cid:86)(cid:75)(cid:82)(cid:90) (cid:87)(cid:75)a(cid:87) M(cid:86) Hea(cid:85)d(cid:182)(cid:86) (cid:87)e(cid:86)(cid:87)(cid:76)(cid:80)(cid:82)(cid:81)(cid:92) (a(cid:81)d M(cid:86) W(cid:75)(cid:76)(cid:87)(cid:81)e(cid:92) He(cid:81)(cid:85)(cid:76)(cid:84)(cid:88)e(cid:86)(cid:182)(cid:86) (cid:87)e(cid:86)(cid:87)(cid:76)(cid:80)(cid:82)(cid:81)(cid:92) (cid:76)(cid:81) 
support) cannot be relied upon.  
 
 
21 June 2019  
 "
timexy,25,12 March 2013,"TIMEX3 type=""DATE"" value=""2013-03-12T00:00:00""","3.  Amended Defence relied (cid:88)(cid:83)(cid:82)(cid:81) (cid:179)disco bloodbath(cid:180) (cid:87)e(cid:91)(cid:87) (cid:80)e(cid:86)(cid:86)a(cid:74)e as referring to this 
incident; and pleaded that the Claimant (cid:179)subsequently(cid:180) (cid:86)e(cid:81)(cid:87) that text referring to 
that evening. The date of that text is 12 March 2013. 
 "
DATE,26,a couple of days later,,"5.  M(cid:86)  He(cid:81)(cid:85)(cid:76)(cid:84)(cid:88)e(cid:86)(cid:182)  statement  (cid:75)a(cid:86)  (cid:87)(cid:75)e  (cid:75)ead(cid:76)(cid:81)(cid:74)  (cid:179)Pa(cid:76)(cid:81)(cid:87)(cid:76)(cid:81)(cid:74)  (cid:76)(cid:81)c(cid:76)de(cid:81)(cid:87),  8  Ma(cid:85)c(cid:75)  2013(cid:180) 
[2/61/E105]. She said that she saw that the painting had been taken off the wall, 
and Ms Heard told her a couple of days later that the Claimant had tried to burn it, 
a(cid:81)d (cid:90)(cid:75)e(cid:81) (cid:75)e (cid:75)ad fa(cid:76)(cid:79)ed (cid:75)e (cid:179)(cid:86)c(cid:85)a(cid:87)ched (cid:82)(cid:88)(cid:87) he(cid:85) (cid:86)ig(cid:81)a(cid:87)(cid:88)(cid:85)e (cid:87)(cid:82) (cid:85)ead (cid:179)Ta(cid:86)(cid:92)a (cid:89)a(cid:81) Pee(cid:180)(cid:180) 
WH at 37 [2/61/E106]. Like Ms Heard, Ms Henriques tied the Painting Incident to 
Keith Richards filming. "
DATE,26,AH 1st,,6.  M(cid:86) Hea(cid:85)d(cid:182)(cid:86) 1st (cid:90)(cid:76)(cid:87)(cid:81)e(cid:86)(cid:86) (cid:86)(cid:87)a(cid:87)e(cid:80)e(cid:81)(cid:87) (cid:83)(cid:88)(cid:87) (cid:87)(cid:75)e (cid:76)(cid:81)c(cid:76)de(cid:81)(cid:87) (cid:76)(cid:81) (cid:179)March 2013(cid:180): AH 1st at 52 
DATE,26,AH 1st,,6.  M(cid:86) Hea(cid:85)d(cid:182)(cid:86) 1st (cid:90)(cid:76)(cid:87)(cid:81)e(cid:86)(cid:86) (cid:86)(cid:87)a(cid:87)e(cid:80)e(cid:81)(cid:87) (cid:83)(cid:88)(cid:87) (cid:87)(cid:75)e (cid:76)(cid:81)c(cid:76)de(cid:81)(cid:87) (cid:76)(cid:81) (cid:179)March 2013(cid:180): AH 1st at 52 
DATE,26,AH 1st,,6.  M(cid:86) Hea(cid:85)d(cid:182)(cid:86) 1st (cid:90)(cid:76)(cid:87)(cid:81)e(cid:86)(cid:86) (cid:86)(cid:87)a(cid:87)e(cid:80)e(cid:81)(cid:87) (cid:83)(cid:88)(cid:87) (cid:87)(cid:75)e (cid:76)(cid:81)c(cid:76)de(cid:81)(cid:87) (cid:76)(cid:81) (cid:179)March 2013(cid:180): AH 1st at 52 
timexy,26,12 March 2013,"TIMEX3 type=""DATE"" value=""2013-03-12T00:00:00""",text: that text is 12 March 2013. 
timexy,26,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","12 December 2019 
 "
timexy,26,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00"""," 
15 December 2019  
 "
timexy,26,6 March 2020,"TIMEX3 type=""DATE"" value=""2020-03-06T00:00:00"""," 
6 March 2020  
 "
timexy,26,June 2020,"TIMEX3 type=""DATE"" value=""2020-06-01T00:00:00"""," 
20th June 2020  
 "
timexy,26,"9  March 
2013","TIMEX3 type=""DATE"" value=""2013-03-09T00:00:00""","11. AH 5th WS, Ms Heard stated (cid:179)41. O(cid:81) 10 Ma(cid:85)c(cid:75) 2013 I (cid:87)(cid:82)(cid:79)d Ka(cid:87)e ab(cid:82)(cid:88)(cid:87) J(cid:82)(cid:75)(cid:81)(cid:81)(cid:92) (cid:75)(cid:76)(cid:87)(cid:87)(cid:76)(cid:81)(cid:74) 
me  after  being  upset  about  Tasya.  The  day  after  the  painting  incident  (9  March 
2013), I sent a text to Kate, telling her (cid:179)The(cid:85)e (cid:90)a(cid:86) l(cid:82)(cid:81)g d(cid:85)a(cid:80)a la(cid:86)(cid:87) (cid:81)igh(cid:87) a(cid:81)d I(cid:182)ll (cid:87)ell 
he(cid:85) (cid:87)he (cid:86)(cid:87)(cid:82)(cid:85)(cid:92) la(cid:87)e(cid:85)(cid:180).   2.1/71.3/E606.30-31 
 "
timexy,26,24 June 2020,"TIMEX3 type=""DATE"" value=""2020-06-24T00:00:00""",On or around 24 June 2020 
timexy,26,"20  March 
2013","TIMEX3 type=""DATE"" value=""2013-03-20T00:00:00""","12. The  Claimant  disclosed  an  email  between  the  him  and  Jane  Rose  of  20  March 
2013 (cid:177) 8/63(a)/I1.1 This email demonstrates that Ms Heard first met Keith Richards 
on evening of 20 March.  
 
4th July 2020 
 "
DATE,26,20 March,,"12. The  Claimant  disclosed  an  email  between  the  him  and  Jane  Rose  of  20  March 
2013 (cid:177) 8/63(a)/I1.1 This email demonstrates that Ms Heard first met Keith Richards 
on evening of 20 March.  
 
4th July 2020 
 "
timexy,26,July 2020,"TIMEX3 type=""DATE"" value=""2020-07-01T00:00:00""","12. The  Claimant  disclosed  an  email  between  the  him  and  Jane  Rose  of  20  March 
2013 (cid:177) 8/63(a)/I1.1 This email demonstrates that Ms Heard first met Keith Richards 
on evening of 20 March.  
 
4th July 2020 
 "
timexy,26,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""",6.  M(cid:86) Hea(cid:85)d(cid:182)(cid:86) 1st (cid:90)(cid:76)(cid:87)(cid:81)e(cid:86)(cid:86) (cid:86)(cid:87)a(cid:87)e(cid:80)e(cid:81)(cid:87) (cid:83)(cid:88)(cid:87) (cid:87)(cid:75)e (cid:76)(cid:81)c(cid:76)de(cid:81)(cid:87) (cid:76)(cid:81) (cid:179)March 2013(cid:180): AH 1st at 52 
DATE,26,that month,,"13. In her 6th WS at 9, said (cid:87)(cid:75)e(cid:85)e (cid:90)e(cid:85)e (cid:179)numerous incidents of violence in March 2013 
and many fights over that month about the painting. While the incident is as I have 
described it in my statement and was around that time, I cannot say for certain it 
was on 8 March 2013(cid:180).  "
DATE,26,8 March 2013(cid:180,,10. Re-A(cid:80)e(cid:81)ded Defe(cid:81)ce (cid:83)(cid:79)eaded (cid:83)a(cid:76)(cid:81)(cid:87)(cid:76)(cid:81)(cid:74) (cid:76)(cid:81)c(cid:76)de(cid:81)(cid:87) (cid:90)a(cid:86) (cid:179)on or around 8 March 2013(cid:180) 
timexy,26,July 2020,"TIMEX3 type=""DATE"" value=""2020-07-01T00:00:00""","12. The  Claimant  disclosed  an  email  between  the  him  and  Jane  Rose  of  20  March 
2013 (cid:177) 8/63(a)/I1.1 This email demonstrates that Ms Heard first met Keith Richards 
on evening of 20 March.  
 
4th July 2020 
 "
DATE,26,5 July,,"14. On 5 July at 15:45, the Claimant disclosed photos of Keith Richards, the Claimant, 
Ms Heard and Ms Henriques.  This was a photograph of their visit to the set on 21 "
timexy,27,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""","March 2013. The Claimant also disclosed an undated photograph of Ms Heard with 
Ia(cid:81) McLa(cid:74)a(cid:81), Ke(cid:76)(cid:87)(cid:75) R(cid:76)c(cid:75)a(cid:85)d(cid:86)(cid:182) (cid:78)e(cid:92)b(cid:82)a(cid:85)d (cid:83)(cid:79)a(cid:92)e(cid:85). 
 
6th July 2020 
 "
timexy,27,July 2020,"TIMEX3 type=""DATE"" value=""2020-07-01T00:00:00""","March 2013. The Claimant also disclosed an undated photograph of Ms Heard with 
Ia(cid:81) McLa(cid:74)a(cid:81), Ke(cid:76)(cid:87)(cid:75) R(cid:76)c(cid:75)a(cid:85)d(cid:86)(cid:182) (cid:78)e(cid:92)b(cid:82)a(cid:85)d (cid:83)(cid:79)a(cid:92)e(cid:85). 
 
6th July 2020 
 "
timexy,27,22 March 2013,"TIMEX3 type=""DATE"" value=""2013-03-22T00:00:00""","15. AH(cid:182)(cid:86) 7th WS at 5: Ms Heard changed the date of the alleged incident in purported 
reliance on a photograph of lines of cocaine on a kitchen glass table. There is no 
apparent causal connection, as to why that photo of drugs taken at her house on 
22 March 2013 could possibly make Ms Heard change or recall the date of Second 
Incident. 
 "
timexy,27,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""","March 2013. The Claimant also disclosed an undated photograph of Ms Heard with 
Ia(cid:81) McLa(cid:74)a(cid:81), Ke(cid:76)(cid:87)(cid:75) R(cid:76)c(cid:75)a(cid:85)d(cid:86)(cid:182) (cid:78)e(cid:92)b(cid:82)a(cid:85)d (cid:83)(cid:79)a(cid:92)e(cid:85). 
 
6th July 2020 
 "
DATE,27,"22 
March",,"16. In  cross-examination  of  the  Claimant,  the  painting  incident  was  described  to  Mr 
Depp as taking place (cid:179)on the night in March 2013 (cid:87)ha(cid:87) I(cid:182)(cid:80) a(cid:86)ki(cid:81)g (cid:92)(cid:82)(cid:88) ab(cid:82)(cid:88)(cid:87)(cid:180)  (at 
p.192), but from the documents shown to the Claimant, Depp-Deuters texts of 22 
March [7/ 65(c)/ H206.7-8], (cid:76)(cid:87) (cid:90)a(cid:86) c(cid:79)ea(cid:85) (cid:87)(cid:75)a(cid:87) (cid:87)(cid:75)e Defe(cid:81)da(cid:81)(cid:87)(cid:86)(cid:182) case was that the 22nd 
being the date of the visit to the set and 21st being the attack and jealously over 
the van Ree painting.  
 "
timexy,27,10 July 2020,"TIMEX3 type=""DATE"" value=""2020-07-10T00:00:00""","Friday 10 July 2020 (22:15)  
 "
DATE,27,21 March,,"17. T(cid:75)e Defe(cid:81)da(cid:81)(cid:87)(cid:86)(cid:182) disclosed various photographs including the undated photo of Ms 
Heard, Ms Henriques, the Claimant and Keith Richards apparently at Sweetzer on 
21 March. There is also a photo of Ms Henriques which appears to be at same 
occasion. 
 
July 16th, 2020 
 "
DATE,27,"July 16th, 2020",,"17. T(cid:75)e Defe(cid:81)da(cid:81)(cid:87)(cid:86)(cid:182) disclosed various photographs including the undated photo of Ms 
Heard, Ms Henriques, the Claimant and Keith Richards apparently at Sweetzer on 
21 March. There is also a photo of Ms Henriques which appears to be at same 
occasion. 
 
July 16th, 2020 
 "
timexy,27,23 March 2013,"TIMEX3 type=""DATE"" value=""2013-03-23T00:00:00""","Script Notes showing that Mr McLagan was only on set on 23 March 2013. 
 "
DATE,27,22nd March,,"17  Ms Heard maintained that the (cid:181)painting(cid:182) incident took place on 22nd March. (cid:179)Q: The 
painting  incident  where  you  say  you  went  to  Keith  Richards'  filming?  A.    The 
painting incident took place on the 22nd. (Page 1792).  
 "
DATE,27,the 22nd,,"16. In  cross-examination  of  the  Claimant,  the  painting  incident  was  described  to  Mr 
Depp as taking place (cid:179)on the night in March 2013 (cid:87)ha(cid:87) I(cid:182)(cid:80) a(cid:86)ki(cid:81)g (cid:92)(cid:82)(cid:88) ab(cid:82)(cid:88)(cid:87)(cid:180)  (at 
p.192), but from the documents shown to the Claimant, Depp-Deuters texts of 22 
March [7/ 65(c)/ H206.7-8], (cid:76)(cid:87) (cid:90)a(cid:86) c(cid:79)ea(cid:85) (cid:87)(cid:75)a(cid:87) (cid:87)(cid:75)e Defe(cid:81)da(cid:81)(cid:87)(cid:86)(cid:182) case was that the 22nd 
being the date of the visit to the set and 21st being the attack and jealously over 
the van Ree painting.  
 "
DATE,27,Page 1792,,"17  Ms Heard maintained that the (cid:181)painting(cid:182) incident took place on 22nd March. (cid:179)Q: The 
painting  incident  where  you  say  you  went  to  Keith  Richards'  filming?  A.    The 
painting incident took place on the 22nd. (Page 1792).  
 "
timexy,28,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""","b.  Secondly, Ms Heard fell back on her recent change of accounts from there 
having  been one very  striking assault in March 2013, to it be a month of 
assaults.  By  re-examination  (Trial  Day  13,  page  2033),  Ms  Heard  was 
claiming  that  there  were  (cid:179)at  least  three  incidents(cid:180)  in  March  2013,  which 
involved the filming of the Keith Richards documentary.  "
timexy,28,March  2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""","b.  Secondly, Ms Heard fell back on her recent change of accounts from there 
having  been one very  striking assault in March 2013, to it be a month of 
assaults.  By  re-examination  (Trial  Day  13,  page  2033),  Ms  Heard  was 
claiming  that  there  were  (cid:179)at  least  three  incidents(cid:180)  in  March  2013,  which 
involved the filming of the Keith Richards documentary.  "
